date,available_cash,frozen_cash,positions_value,total_value,positions
2025-03-28,59677.92000000023,-3.4924596548080444e-10,1456629.0,1516306.9200000002,"{'002249.XSHE': {'total_amount': 57400, 'avg_cost': 7.6, 'price': np.float64(7.56)}, '002535.XSHE': {'total_amount': 102100, 'avg_cost': 4.6, 'price': np.float64(4.82)}, '002923.XSHE': {'total_amount': 34700, 'avg_cost': 13.52, 'price': np.float64(15.29)}}"
2025-03-31,1366790.0000000002,-3.4924596548080444e-10,56730.0,1423520.0000000002,"{'000967.XSHE': {'total_amount': 9300, 'avg_cost': 6.34, 'price': np.float64(6.1)}}"
2025-04-01,64860.44000000028,-2.3283064365386963e-10,1364743.0,1429603.4400000002,"{'000025.XSHE': {'total_amount': 23600, 'avg_cost': 18.04, 'price': np.float64(17.9)}, '002062.XSHE': {'total_amount': 83400, 'avg_cost': 5.63, 'price': np.float64(5.71)}, '600533.XSHG': {'total_amount': 210900, 'avg_cost': 2.19, 'price': np.float64(2.21)}}"
2025-04-02,1374061.7400000005,-2.3283064365386963e-10,57993.0,1432054.7400000005,"{'002655.XSHE': {'total_amount': 3900, 'avg_cost': 16.09, 'price': np.float64(14.87)}}"
2025-04-03,103572.5000000007,-2.3283064365386963e-10,1511436.0,1615008.5000000007,"{'603169.XSHG': {'total_amount': 158100, 'avg_cost': 8.37, 'price': np.float64(9.56)}}"
2025-04-07,1579885.7900000007,-2.3283064365386963e-10,0.0,1579885.7900000007,{}
2025-04-08,1579885.7900000007,-2.3283064365386963e-10,0.0,1579885.7900000007,{}
2025-04-09,1579885.7900000007,-2.3283064365386963e-10,0.0,1579885.7900000007,{}
2025-04-10,1579885.7900000007,-2.3283064365386963e-10,0.0,1579885.7900000007,{}
2025-04-11,1579885.7900000007,-2.3283064365386963e-10,0.0,1579885.7900000007,{}
