schema_version,trade_date,code,branch,observation_level,prepared_candidate,handler_eligible,terminal_state,fill_status,order_id,entry_price,entry_amount
0.2,2023-01-20,002945.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,600536.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,600771.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,002945.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,600705.XSHG,Auction,PREPARED_CANDIDATE,True,,FILLED,FULL,13,4.54,68500.0
0.2,2023-01-20,002368.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,600657.XSHG,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,002232.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-20,000996.XSHE,Auction,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-30,000758.XSHE,YJJ,PREPARED_CANDIDATE,True,,FILLED,FULL,14,6.05,47000.0
0.2,2023-01-30,000831.XSHE,YJJ,PREPARED_CANDIDATE,True,,FILLED,FULL,15,39.21,8700.0
0.2,2023-01-30,002121.XSHE,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-30,600705.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
0.2,2023-01-30,603636.XSHG,YJJ,PREPARED_CANDIDATE,True,,UNRESOLVED,,,,
