date,code,amount,avg_cost,price
2025-08-04,600588.XSHG,19300.0,16.29,15.99
2025-08-05,600588.XSHG,19300.0,16.29,15.71
2025-08-05,600161.XSHG,18600.0,21.11,21.06
2025-08-05,002026.XSHE,22200.0,13.54,13.42
2025-08-05,002484.XSHE,11400.0,26.46,26.39
2025-08-06,600161.XSHG,18600.0,21.11,20.53
2025-08-07,603811.XSHG,58100.0,15.47,15.1
2025-08-08,002536.XSHE,6300.0,20.0,21.3
2025-08-08,002331.XSHE,14000.0,9.01,8.45
2025-08-08,603131.XSHG,6600.0,19.88,21.62
2025-08-11,002331.XSHE,14000.0,9.01,9.3
2025-08-11,600075.XSHG,84800.0,4.92,4.74
2025-08-11,002173.XSHE,15400.0,17.49,18.72
2025-08-11,603130.XSHG,6500.0,39.98,42.34
2025-08-12,600075.XSHG,84800.0,4.92,4.86
2025-08-12,002364.XSHE,7600.0,18.5,18.99
2025-08-12,002174.XSHE,8900.0,15.89,15.77
2025-08-13,600075.XSHG,84800.0,4.92,4.67
2025-08-13,000901.XSHE,12400.0,19.16,21.07
2025-08-13,603912.XSHG,23100.0,10.14,11.02
2025-08-13,002166.XSHE,27300.0,8.57,8.52
2025-08-14,600698.XSHG,10300.0,14.19,14.29
2025-08-14,601208.XSHG,8300.0,18.36,17.47
2025-08-15,002549.XSHE,24900.0,15.42,16.68
2025-08-15,002201.XSHE,44400.0,8.41,8.96
2025-08-15,600255.XSHG,88100.0,4.34,4.74
2025-08-18,603686.XSHG,7000.0,20.3,19.55
2025-08-18,002203.XSHE,10500.0,13.61,13.28
2025-08-19,002182.XSHE,10300.0,14.56,14.97
2025-08-20,600557.XSHG,34100.0,19.9,19.53
2025-08-20,002421.XSHE,178100.0,3.81,3.86
2025-08-21,002272.XSHE,2600.0,19.02,17.25
2025-08-21,002131.XSHE,9900.0,5.1,4.71
2025-08-21,002815.XSHE,3000.0,16.02,14.9
2025-08-22,000063.XSHE,10100.0,43.51,46.55
2025-08-22,002056.XSHE,23800.0,18.02,18.12
2025-08-22,603688.XSHG,10200.0,42.03,42.82
2025-08-26,002091.XSHE,17700.0,8.39,8.52
2025-08-26,600797.XSHG,54700.0,11.96,12.73
2025-08-26,002272.XSHE,34500.0,19.36,21.37
2025-08-27,002091.XSHE,17700.0,8.39,8.18
2025-08-27,002658.XSHE,600.0,8.53,8.3
2025-08-27,603757.XSHG,100.0,52.18,57.26
2025-08-27,002811.XSHE,500.0,12.24,11.7
2025-08-28,002091.XSHE,17700.0,8.39,8.11
2025-08-28,002811.XSHE,500.0,12.24,11.9
2025-08-29,002829.XSHE,29200.0,23.81,24.04
2025-08-29,002115.XSHE,73200.0,10.12,10.47
2025-09-01,000892.XSHE,6600.0,5.08,5.38
2025-09-01,605188.XSHG,1900.0,17.54,19.86
2025-09-01,603569.XSHG,3700.0,9.21,9.42
2025-09-02,600797.XSHG,123000.0,11.7,11.32
