match_key,date,time,code,side,jq_price,l1a_price,price_diff,classification,matched_disabled_hook_id,hook_key
2020-06-04|2020-06-04 11:30|000505.XSHE|sell#1,2020-06-04,2020-06-04 11:30,000505.XSHE,sell,8.34,8.35,-0.01,price_and_amount,,
2020-06-04|2020-06-04 11:30|603101.XSHG|sell#1,2020-06-04,2020-06-04 11:30,603101.XSHG,sell,9.43,9.44,-0.01,price_and_amount,,
2020-06-05|2020-06-05 9:30|601330.XSHG|buy#1,2020-06-05,2020-06-05 9:30,601330.XSHG,buy,9.68,9.69,-0.01,price_and_amount,,
2020-06-05|2020-06-05 9:30|603788.XSHG|buy#1,2020-06-05,2020-06-05 9:30,603788.XSHG,buy,16.56,16.55,0.01,price_and_amount,,
2020-06-08|2020-06-08 14:48|601330.XSHG|sell#1,2020-06-08,2020-06-08 14:48,601330.XSHG,sell,9.56,9.55,0.01,price_and_amount,,
2020-06-09|2020-06-09 9:30|002873.XSHE|buy#1,2020-06-09,2020-06-09 9:30,002873.XSHE,buy,19.42,19.43,-0.01,price_and_amount,,
2020-06-10|2020-06-10 11:30|002279.XSHE|sell#1,2020-06-10,2020-06-10 11:30,002279.XSHE,sell,7.2,7.21,-0.01,price_and_amount,,
2020-06-11|2020-06-11 9:30|600884.XSHG|buy#1,2020-06-11,2020-06-11 9:30,600884.XSHG,buy,14.2,14.21,-0.01,price_and_amount,,
2020-06-12|2020-06-12 11:30|002208.XSHE|sell#1,2020-06-12,2020-06-12 11:30,002208.XSHE,sell,11.1,11.11,-0.01,price_and_amount,,
2020-06-12|2020-06-12 11:30|600318.XSHG|sell#1,2020-06-12,2020-06-12 11:30,600318.XSHG,sell,9.26,9.27,-0.01,price_and_amount,,
2020-06-16|2020-06-16 14:50|600095.XSHG|sell#1,2020-06-16,2020-06-16 14:50,600095.XSHG,sell,10.68,10.69,-0.01,price_only,,
2020-06-17|2020-06-17 11:25|300677.XSHE|sell#1,2020-06-17,2020-06-17 11:25,300677.XSHE,sell,116.0,115.87,0.13,price_only,,
2020-06-17|2020-06-17 9:30|600268.XSHG|buy#1,2020-06-17,2020-06-17 9:30,600268.XSHG,buy,8.28,8.29,-0.01,price_and_amount,,
2020-06-17|2020-06-17 9:30|603185.XSHG|buy#1,2020-06-17,2020-06-17 9:30,603185.XSHG,buy,38.9,38.91,-0.01,price_only,,
2020-06-18|2020-06-18 11:25|002402.XSHE|sell#1,2020-06-18,2020-06-18 11:25,002402.XSHE,sell,15.92,15.94,-0.02,price_only,,
2020-06-18|2020-06-18 11:30|002137.XSHE|sell#1,2020-06-18,2020-06-18 11:30,002137.XSHE,sell,7.86,7.87,-0.01,price_and_amount,,
2020-06-18|2020-06-18 11:30|603185.XSHG|sell#1,2020-06-18,2020-06-18 11:30,603185.XSHG,sell,42.16,42.17,-0.01,price_only,,
2020-06-18|2020-06-18 9:30|600315.XSHG|buy#1,2020-06-18,2020-06-18 9:30,600315.XSHG,buy,48.04,48.05,-0.01,price_only,,
2020-06-19|2020-06-19 every_bar|600812.XSHG|sell#1,2020-06-19,2020-06-19 every_bar,600812.XSHG,sell,12.27,12.28,-0.01,price_only,,
2020-06-22|2020-06-22 9:30|002686.XSHE|buy#1,2020-06-22,2020-06-22 9:30,002686.XSHE,buy,5.22,5.21,0.01,price_and_amount,,
2020-06-22|2020-06-22 9:30|002891.XSHE|buy#1,2020-06-22,2020-06-22 9:30,002891.XSHE,buy,41.72,41.73,-0.01,price_only,,
2020-06-22|2020-06-22 9:30|601788.XSHG|buy#1,2020-06-22,2020-06-22 9:30,601788.XSHG,buy,12.28,12.29,-0.01,price_and_amount,,
2020-06-23|2020-06-23 11:25|601788.XSHG|sell#1,2020-06-23,2020-06-23 11:25,601788.XSHG,sell,14.0,14.01,-0.01,price_and_amount,,
2020-06-23|2020-06-23 11:30|600198.XSHG|sell#1,2020-06-23,2020-06-23 11:30,600198.XSHG,sell,15.96,15.98,-0.02,price_and_amount,,
2020-06-24|2020-06-24 11:30|002891.XSHE|sell#1,2020-06-24,2020-06-24 11:30,002891.XSHE,sell,40.29,40.3,-0.01,price_only,,
2020-06-24|2020-06-24 every_bar|603608.XSHG|sell#1,2020-06-24,2020-06-24 every_bar,603608.XSHG,sell,11.36,11.37,-0.01,price_and_amount,,
2020-06-29|2020-06-29 every_bar|002532.XSHE|sell#1,2020-06-29,2020-06-29 every_bar,002532.XSHE,sell,8.1,8.11,-0.01,price_and_amount,,
2020-06-29|2020-06-29 every_bar|601999.XSHG|sell#1,2020-06-29,2020-06-29 every_bar,601999.XSHG,sell,7.14,7.15,-0.01,price_and_amount,,
2020-06-30|2020-06-30 9:30|601908.XSHG|buy#1,2020-06-30,2020-06-30 9:30,601908.XSHG,buy,4.34,4.33,0.01,price_and_amount,,
2020-07-01|2020-07-01 11:30|600966.XSHG|sell#1,2020-07-01,2020-07-01 11:30,600966.XSHG,sell,10.32,10.33,-0.01,price_only,,
2020-07-03|2020-07-03 11:30|002184.XSHE|sell#1,2020-07-03,2020-07-03 11:30,002184.XSHE,sell,14.78,14.79,-0.01,price_and_amount,,
2020-07-06|2020-07-06 11:30|000700.XSHE|sell#1,2020-07-06,2020-07-06 11:30,000700.XSHE,sell,8.38,8.39,-0.01,price_only,,
2020-07-06|2020-07-06 9:30|000800.XSHE|buy#1,2020-07-06,2020-07-06 9:30,000800.XSHE,buy,12.7,12.71,-0.01,price_only,,
2020-07-06|2020-07-06 9:30|600223.XSHG|buy#1,2020-07-06,2020-07-06 9:30,600223.XSHG,buy,11.0,11.01,-0.01,price_and_amount,,
2020-07-07|2020-07-07 11:25|000800.XSHE|sell#1,2020-07-07,2020-07-07 11:25,000800.XSHE,sell,13.14,13.15,-0.01,price_only,,
2020-07-08|2020-07-08 9:30|002930.XSHE|buy#1,2020-07-08,2020-07-08 9:30,002930.XSHE,buy,18.1,18.09,0.01,price_and_amount,,
2020-07-08|2020-07-08 9:30|600515.XSHG|buy#1,2020-07-08,2020-07-08 9:30,600515.XSHG,buy,6.9,6.89,0.01,price_and_amount,,
2020-07-09|2020-07-09 11:30|002371.XSHE|sell#1,2020-07-09,2020-07-09 11:30,002371.XSHE,sell,219.16,219.17,-0.01,price_only,,
2020-07-09|2020-07-09 11:30|600859.XSHG|sell#1,2020-07-09,2020-07-09 11:30,600859.XSHG,sell,76.98,76.9,0.08,price_only,,
2020-08-20|2020-08-20 9:30|600027.XSHG|buy#1,2020-08-20,2020-08-20 9:30,600027.XSHG,buy,4.3,4.29,0.01,price_only,,
