date,code,list_rank,bought,open_gap,candidate_relative_to_cohort,candidate_relative_to_market,sector_l1,sector_limit_up_count,sector_first_board_count,candidate_return_to_close,candidate_prev_is_limit_up,candidate_prev_is_first_board,candidate_prev_board_height,candidate_prev_return,T1_emotion_state_v1,T1_emotion_heat,T1_emotion_momentum,T1_emotion_stress,sector_broken_board_rate,sector_advance_ratio,sector_mean_return,sector_max_board_height,open_gap_rank,candidate_relative_to_cohort_rank,candidate_relative_to_market_rank,sector_limit_up_count_rank,composite_score,composite_rank
2024-02-20,603991.XSHG,102,False,0.074884444,0.04921306297183037,0.07808728,传媒,7.0,4.0,-0.021215644,True,True,1.0,0.10000002384185791,ACCELERATION,0.8786666666666667,0.07399999999999995,0.14933333333333332,0.3,0.8188405797101449,0.031610991805791855,3.0,11.0,11.0,11.0,67.0,0.86757839184851,13.0
2024-02-20,605055.XSHG,103,False,0.002288382,-0.023382999002933502,0.0054912176,食品饮料,4.0,4.0,0.0,True,True,1.0,0.10075563192367554,ACCELERATION,0.8786666666666667,0.07399999999999995,0.14933333333333332,0.6,0.8157894736842105,0.03394835814833641,1.0,79.0,79.0,79.0,88.0,-0.8046139891293632,93.0
2024-02-20,605178.XSHG,104,False,0.010180044,-0.015491337515413761,0.01338288,医药生物,27.0,21.0,0.040310115,True,True,1.0,0.09991393983364105,ACCELERATION,0.8786666666666667,0.07399999999999995,0.14933333333333332,0.22857142857142856,0.8351409978308026,0.034145843237638474,2.0,68.0,68.0,68.0,9.0,0.15362806854604516,38.0
2024-02-20,605255.XSHG,105,False,0.011044958,-0.014626423828303814,0.014247794,建筑装饰,11.0,9.0,-0.014285721,True,True,1.0,0.1000000610947609,ACCELERATION,0.8786666666666667,0.07399999999999995,0.14933333333333332,0.21428571428571427,0.8353658536585366,0.03758200258016586,2.0,65.0,65.0,65.0,54.0,-0.37559112643902015,72.0
2024-02-20,605577.XSHG,106,False,0.0,-0.025671381503343582,0.0032028358,商贸零售,5.0,5.0,0.049652983,True,True,1.0,0.09982376545667648,ACCELERATION,0.8786666666666667,0.07399999999999995,0.14933333333333332,0.16666666666666666,0.8217821782178217,0.030148029327392578,1.0,83.0,83.0,83.0,82.0,-0.8198417771307941,95.0
2024-02-21,000007.XSHE,0,False,0.0046728924,0.003648867132142186,0.012662815,食品饮料,4.0,4.0,-0.0023256345,True,True,1.0,0.04901967942714691,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.7166666666666667,0.01621844992041588,1.0,18.0,18.0,18.0,38.0,-0.3055286167909935,35.0
2024-02-21,000525.XSHE,1,False,0.0028050463,0.001781021011993289,0.010794969,农林牧渔,2.0,1.0,-0.0111888,True,True,1.0,0.05007366091012955,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.3333333333333333,0.6956521739130435,0.016039280220866203,2.0,21.0,21.0,21.0,41.0,-0.4751601484911577,39.0
2024-02-21,000953.XSHE,2,False,0.003039511,0.0020154856611043215,0.011029433,国防军工,2.0,1.0,0.036363676,True,True,1.0,0.10033442825078964,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.0,0.631578947368421,0.010664629749953747,2.0,20.0,20.0,20.0,41.0,-0.47007013288254945,38.0
2024-02-21,000996.XSHE,3,False,0.0034364227,0.002412397414445877,0.011426345,房地产,6.0,3.0,-0.010273962,True,True,1.0,0.050541553646326065,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.0,0.7127659574468085,0.016223378479480743,2.0,19.0,19.0,19.0,35.0,-0.2032889765706806,28.0
2024-02-21,001225.XSHE,4,False,-0.024670126,-0.02569415047764778,-0.016680203,基础化工,14.0,6.0,0.010294072,True,True,1.0,0.10003155469894409,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2222222222222222,0.647450110864745,0.01286393590271473,4.0,42.0,42.0,42.0,10.0,-0.2971276067557419,34.0
